"prefix value" "initial prefix" "maximum allowed prefix to expand" "num tx to create" "max. Allowed expansion according to RIR file" "max expansion to limit to 128 tx per src addr" "number of allowed bits to expand" remaks
2001:0000:: 23 30 128 64 30 7 "NOT DELEGATED"
2001:0200:: 23 30 128 32 30 7 
2001:0400:: 23 29 64 29 30 6 
2001:0600:: 23 29 64 29 30 6 
2001:0800:: 23 29 64 29 30 6 
2001:0a00:: 23 29 64 29 30 6 
2001:0c00:: 23 30 128 30 30 7 
2001:0e00:: 23 28 32 28 30 5 
2001:1200:: 23 29 64 29 30 6 
2001:1400:: 23 29 64 29 30 6 
2001:1600:: 23 27 16 27 30 4 
2001:1800:: 23 29 64 29 30 6 
2001:1a00:: 23 29 64 29 30 6 
2001:1c00:: 22 23 2 23 29 1 
2001:2000:: 20 20 1 20 27 0 
2001:3000:: 21 28 128 64 28 7 "NOT DELEGATED"
2001:3800:: 22 29 128 64 29 7 "NOT DELEGATED"
2001:3c00:: 22 29 128 64 29 7 "NOT DELEGATED"
2001:4000:: 23 29 64 29 30 6 
2001:4200:: 23 29 64 29 30 6 
2001:4400:: 23 26 8 26 30 3 
2001:4600:: 23 24 2 24 30 1 
2001:4800:: 23 29 64 29 30 6 
2001:4a00:: 23 27 16 27 30 4 
2001:4c00:: 23 29 64 29 30 6 
2001:5000:: 20 21 2 21 27 1 
2001:8000:: 19 20 2 20 26 1 
2001:a000:: 20 21 2 21 27 1 
2001:b000:: 20 21 2 21 27 1 
2002:0000:: 16 16 1 16 23 0 "NOT DELEGATED"
2003:0000:: 18 19 2 19 25 1 
2400:0000:: 12 19 128 20 19 7 
2600:0000:: 12 19 128 19 19 7 
2610:0000:: 23 28 32 28 30 5 
2620:0000:: 23 29 64 29 30 6 
2800:0000:: 12 19 128 20 19 7 
2a00:0000:: 12 19 128 22 19 7 
2c00:0000:: 12 13 2 13 19 1 
