PREFIX_VALUE INITIAL_PREFIX MAXIMUM_EXP NUM_TX_TO_CREATE
2001:200:: 27 30 8
2001:220:: 27 30 8
2001:240:: 27 30 8
2001:260:: 27 30 8
2001:280:: 27 30 8
2001:2a0:: 27 30 8
2001:2c0:: 27 30 8
2001:2e0:: 27 30 8
2001:300:: 27 30 8
2001:320:: 27 30 8
2001:340:: 27 30 8
2001:360:: 27 30 8
2001:380:: 27 30 8
2001:3a0:: 27 30 8
2001:3c0:: 27 30 8
2001:3e0:: 27 30 8
2001:400:: 27 30 8
2001:420:: 27 30 8
2001:440:: 27 30 8
2001:460:: 27 30 8
2001:480:: 27 29 4
2001:4a0:: 27 29 4
2001:4c0:: 27 29 4
2001:4e0:: 27 30 8
2001:500:: 27 30 8
2001:520:: 27 30 8
2001:540:: 27 30 8
2001:560:: 27 29 4
2001:580:: 27 29 4
2001:5a0:: 27 30 8
2001:5c0:: 27 30 8
2001:5e0:: 27 30 8
2001:660:: 27 33 64
2001:700:: 27 29 4
2001:720:: 27 29 4
2001:740:: 27 30 8
2001:760:: 27 29 4
2001:780:: 27 29 4
2001:7a0:: 27 29 4
2001:7c0:: 27 29 4
2001:7e0:: 27 29 4
2001:800:: 27 29 4
2001:820:: 27 29 4
2001:840:: 27 29 4
2001:860:: 27 29 4
2001:880:: 27 29 4
2001:8a0:: 27 29 4
2001:8c0:: 27 29 4
2001:8e0:: 27 29 4
2001:900:: 27 29 4
2001:920:: 27 29 4
2001:940:: 27 30 8
2001:960:: 27 29 4
2001:980:: 27 29 4
2001:9a0:: 27 29 4
2001:9c0:: 27 29 4
2001:9e0:: 27 29 4
2001:a00:: 27 29 4
2001:a20:: 27 29 4
2001:a40:: 27 30 8
2001:a60:: 27 29 4
2001:a80:: 27 30 8
2001:aa0:: 27 29 4
2001:ac0:: 27 29 4
2001:ae0:: 27 30 8
2001:b00:: 27 29 4
2001:b20:: 27 29 4
2001:b40:: 27 29 4
2001:b60:: 27 29 4
2001:b80:: 27 29 4
2001:ba0:: 27 29 4
2001:bc0:: 27 29 4
2001:be0:: 27 29 4
2001:c00:: 27 30 8
2001:c20:: 27 30 8
2001:c40:: 27 30 8
2001:c60:: 27 30 8
2001:c80:: 27 30 8
2001:ca0:: 27 30 8
2001:cc0:: 27 30 8
2001:ce0:: 27 30 8
2001:dc0:: 27 33 64
2001:de0:: 27 33 64
2001:e00:: 27 30 8
2001:e20:: 27 30 8
2001:e40:: 27 30 8
2001:e60:: 27 30 8
2001:e80:: 27 30 8
2001:ea0:: 27 30 8
2001:ec0:: 27 30 8
2001:ee0:: 27 30 8
2001:f00:: 27 30 8
2001:f20:: 27 30 8
2001:f40:: 27 30 8
2001:f60:: 27 28 2
2001:f80:: 27 30 8
2001:fa0:: 27 30 8
2001:fc0:: 27 30 8
2001:fe0:: 27 30 8
2001:1000:: 23 23 1
2001:1200:: 23 29 64
2001:1400:: 23 29 64
2001:1600:: 23 25 4
2001:1800:: 23 29 64
2001:1a00:: 23 29 64
2001:1c00:: 23 23 1
2001:1e00:: 23 23 1
2001:2000:: 20 20 1
2001:3000:: 21 21 1
2001:3800:: 21 22 2
2001:4000:: 24 29 32
2001:4100:: 24 29 32
2001:4200:: 24 29 32
2001:4300:: 24 29 32
2001:4400:: 24 28 16
2001:4500:: 24 26 4
2001:4600:: 24 24 1
2001:4700:: 24 24 1
2001:4800:: 24 29 32
2001:4900:: 24 30 64
2001:4a00:: 24 25 2
2001:4b00:: 24 29 32
2001:4c00:: 24 29 32
2001:4d00:: 24 29 32
2001:5000:: 21 21 1
2001:5800:: 21 21 1
2001:8000:: 20 20 1
2001:9000:: 20 20 1
2001:a000:: 21 21 1
2001:a800:: 21 21 1
2001:b000:: 21 21 1
2001:b800:: 21 21 1
2002:: 16 16 1
2003:: 19 19 1
2003:2000:: 19 19 1
2400:: 15 21 64
2402:: 15 21 64
2404:: 15 21 64
2406:: 15 21 64
2408:: 15 21 64
240a:: 15 21 64
240c:: 15 21 64
2600:: 15 21 64
2602:: 15 21 64
2604:: 15 21 64
2606:: 15 21 64
2610:: 15 16 2
2612:: 15 15 1
2620:: 15 16 2
2622:: 15 15 1
2800:: 15 21 64
2802:: 15 21 64
2804:: 15 21 64
2806:: 15 21 64
2a00:: 15 21 64
2a02:: 15 21 64
2a04:: 15 21 64
2a06:: 15 21 64
2a08:: 15 21 64
2a0a:: 15 21 64
2a0c:: 15 21 64
2c0e:: 15 21 64
